feature,type
HighBP,Original
HighChol,Original
CholCheck,Original
BMI,Original
Smoker,Original
Stroke,Original
HeartDiseaseorAttack,Original
PhysActivity,Original
Fruits,Original
Veggies,Original
HvyAlcoholConsump,Original
AnyHealthcare,Original
NoDocbcCost,Original
GenHlth,Original
MentHlth,Original
PhysHlth,Original
DiffWalk,Original
Sex,Original
Age,Original
Education,Original
Income,Original
BMI_Underweight,Engineered
BMI_Normal,Engineered
BMI_Overweight,Engineered
BMI_Obese_1,Engineered
BMI_Obese_2,Engineered
BMI_Obese_3,Engineered
BMI_Squared,Engineered
BMI_Log,Engineered
Age_Young,Engineered
Age_Middle,Engineered
Age_Senior,Engineered
Age_Elderly,Engineered
Age_Squared,Engineered
Cardio_Risk_Sum,Engineered
Cardio_Risk_Weighted,Engineered
Metabolic_Score,Engineered
Lifestyle_Score,Engineered
