feature,correlation
GenHlth,0.29356906307871555
HighBP,0.26312878992336214
DiffWalk,0.2183443519210175
BMI,0.21684306020311875
HighChol,0.20027619187911933
Age,0.17744187216725646
HeartDiseaseorAttack,0.17728225780720303
PhysHlth,0.17133670038725202
Income,0.16391878680099387
Education,0.1244559692158819
PhysActivity,0.11813311489591129
Stroke,0.10581606726811282
MentHlth,0.06931508263835481
CholCheck,0.06476081015893624
Smoker,0.06078850564034038
HvyAlcoholConsump,0.057056256121681796
Veggies,0.05658413706416253
Fruits,0.04077922810406519
NoDocbcCost,0.03143276335925923
Sex,0.03142999802068118
AnyHealthcare,0.016255139545865684
