feature,correlation
GenHlth,0.40761159849490886
HighBP,0.38151554890730616
BMI,0.2933727447610473
HighChol,0.2892128070886535
Age,0.27873806628190123
DiffWalk,0.27264600615980783
Income,0.22444871496381608
PhysHlth,0.21308101903810653
HeartDiseaseorAttack,0.211523404360229
Education,0.17048063498805732
PhysActivity,0.15866560486404713
Stroke,0.1254267846851689
CholCheck,0.11538161710272975
HvyAlcoholConsump,0.09485313995926405
MentHlth,0.0870287714750947
Smoker,0.08599896420800134
Veggies,0.07929314561270172
Fruits,0.054076556286671164
Sex,0.04441285837125977
NoDocbcCost,0.040976573266642
AnyHealthcare,0.023190748531122133
